Name,Description,Lat,Long,Color,Category
Meter-0001,Meter,41.465539,-81.93902,#820A24,Active
Pole-0002,Pole,39.910525,-84.378316,#F2F052,Retired
Transformer-0003,Transformer,39.351291,-82.533233,#F59B65,Active
Meter-0004,Meter,38.496202,-83.096695,#7AE722,Active
Pole-0005,Pole,41.668887,-81.274083,#B71660,Active
Pole-0006,Pole,40.625296,-84.645713,#7ADB9D,Retired
Meter-0007,Meter,40.991971,-82.051258,#49DF21,Retired
Transformer-0008,Transformer,40.551213,-82.050948,#D01E6A,Maintenance
Meter-0009,Meter,41.39606,-82.632326,#A09680,Maintenance
Transformer-0010,Transformer,38.42365,-82.085422,#048607,Maintenance
Meter-0011,Meter,38.409919,-82.687055,#AADA0E,Active
Pole-0012,Pole,39.648647,-84.413546,#B1F462,Maintenance
Transformer-0013,Transformer,41.040799,-82.982978,#8D910F,Retired
Pole-0014,Pole,40.52092,-82.318891,#74E440,Retired
Meter-0015,Meter,39.390897,-82.321605,#317966,Maintenance
Pole-0016,Pole,41.518437,-81.352028,#79B4AD,Retired
Transformer-0017,Transformer,40.002544,-82.421122,#F2C496,Retired
Transformer-0018,Transformer,39.191473,-81.577633,#F55921,Active
Meter-0019,Meter,39.797345,-80.861863,#1C9261,Maintenance
Pole-0020,Pole,38.559237,-81.262736,#406B17,Retired
Pole-0021,Pole,38.988209,-82.429381,#5099A8,Maintenance
Pole-0022,Pole,40.646484,-82.527557,#ACFEB6,Maintenance
Meter-0023,Meter,39.29446,-82.645984,#A2CD13,Maintenance
Transformer-0024,Transformer,39.191879,-80.977208,#D8D1A5,Retired
Transformer-0025,Transformer,38.497429,-80.779003,#B3EF59,Retired
Pole-0026,Pole,39.927018,-81.955837,#5D2830,Active
Transformer-0027,Transformer,39.459577,-84.254492,#5A2FEC,Retired
Pole-0028,Pole,40.663387,-83.463802,#262291,Maintenance
Pole-0029,Pole,41.476512,-82.950813,#0CE4CC,Retired
Transformer-0030,Transformer,41.524651,-84.380044,#907266,Retired
Meter-0031,Meter,39.551712,-84.598028,#AC00A5,Active
Pole-0032,Pole,41.704171,-80.820128,#5A3E44,Active
Transformer-0033,Transformer,38.733824,-80.963196,#6EA237,Active
Transformer-0034,Transformer,40.412346,-83.97299,#E9A1A0,Retired
Meter-0035,Meter,39.366044,-84.121757,#7E3971,Maintenance
Transformer-0036,Transformer,39.713363,-82.244173,#5AD322,Maintenance
Meter-0037,Meter,41.526396,-80.613131,#ECFA79,Retired
Meter-0038,Meter,39.242384,-83.454252,#0B6F92,Maintenance
Pole-0039,Pole,39.847619,-82.359549,#E65B41,Active
Pole-0040,Pole,40.78713,-84.187275,#96742A,Retired
Transformer-0041,Transformer,38.535808,-81.609651,#42F39E,Active
Meter-0042,Meter,39.828827,-84.630291,#C2335F,Retired
Pole-0043,Pole,40.578651,-84.541086,#A83AAC,Retired
Transformer-0044,Transformer,40.942935,-80.961598,#0D1F6A,Active
Meter-0045,Meter,38.588986,-83.947926,#C75A64,Active
Pole-0046,Pole,38.83638,-84.701179,#83A9B4,Maintenance
Transformer-0047,Transformer,41.181622,-81.335054,#727F20,Active
Transformer-0048,Transformer,39.225055,-81.132497,#DDA121,Active
Transformer-0049,Transformer,39.488992,-82.11827,#960760,Retired
Transformer-0050,Transformer,41.153307,-83.058342,#36A330,Retired
Pole-0051,Pole,40.734009,-82.05389,#B47994,Active
Meter-0052,Meter,41.910448,-84.260781,#BAC985,Active
Transformer-0053,Transformer,40.508239,-83.758957,#840A3A,Maintenance
Transformer-0054,Transformer,39.7624,-82.760736,#A127BA,Retired
Transformer-0055,Transformer,38.491675,-82.820189,#34B46E,Maintenance
Pole-0056,Pole,38.499905,-80.892234,#BE356A,Retired
Pole-0057,Pole,39.834681,-84.118386,#C2229C,Active
Meter-0058,Meter,40.332153,-81.240701,#03D469,Maintenance
Meter-0059,Meter,38.478563,-83.286234,#2DF72E,Maintenance
Pole-0060,Pole,40.915468,-81.403359,#B0FB46,Maintenance
Meter-0061,Meter,40.302177,-82.714019,#AFDE51,Maintenance
Transformer-0062,Transformer,38.85137,-83.603955,#E81779,Retired
Meter-0063,Meter,39.284221,-84.799776,#F58207,Maintenance
Pole-0064,Pole,39.868299,-83.378504,#EFF9E3,Retired
Meter-0065,Meter,39.318836,-84.002635,#4E82B6,Maintenance
Pole-0066,Pole,41.288419,-84.539445,#5BB118,Retired
Pole-0067,Pole,40.376497,-82.92362,#F826C7,Retired
Meter-0068,Meter,40.58126,-81.105749,#1769CC,Active
Transformer-0069,Transformer,39.734816,-80.905523,#4CD2BD,Retired
